When Rated,Beer,Score,Comment
6/23/2008,Bear Republic Hop Rod Rye Ale,5,
6/23/2008,Sierra Nevada Southern Hemisphere Harvest,3,
6/26/2008,Affligem Tripel,8,
6/26/2008,Leinenkugels Red,4,
6/29/2008,Mendocino Black Hawk Stout,4,
7/2/2008,Capitol City Hefeweizen,9,
7/2/2008,Capitol City Amber Waves Ale,7,
7/2/2008,Capitol City Capitol Kolsch,6,
7/2/2008,Capitol City Pale Rider Ale,6,
7/2/2008,Capitol City Prohibition Porter,5,
7/13/2008,Rogue Morimoto Imperial Pilsner,7,
7/14/2008,Jumping Cow Amber Ale,6,
7/21/2008,Brooklyn Lager,5,
7/22/2008,Gila Monster Amber Lager,7,
7/24/2008,Sagres Chopp,6,
7/24/2008,Magic Hat Lucky Kat,5,
7/25/2008,Kennebunkport Porter,3,
7/26/2008,Samuel Smiths Alpine Lager,7,
8/5/2008,Erdinger Weissbier Dunkel,7,
8/5/2008,Hook and Ladder Backdraft Brown Ale,7,
8/5/2008,Leffe Brune,7,
8/5/2008,Golden Originale 3.5%,6,
8/5/2008,Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,5,
8/5/2008,Dogfish Head Festina Peche,2,
8/7/2008,Hofbr‰u M¸nchen Dunkel,8,
8/7/2008,Sabeco 333 Export,7,
8/7/2008,Hofbrauhaus Berchtesgaden Maibock,6,
8/7/2008,Hofbr‰u M¸nchen Maibock,6,
8/7/2008,Hofbr‰u M¸nchner Sommer Naturtr¸b,3,
8/10/2008,Abbey Brewing Father Theodore's Imperial Stout,7,
8/10/2008,Lost Coast Apricot Wheat,7,
8/13/2008,Trader Joes Vienna Style Lager,5,
8/15/2008,Coopers Premium Lager,7,
8/15/2008,De Dolle Arabier,1,
8/16/2008,Pinkus M¸nstersch Alt,7,
8/18/2008,Yazoo Pale Ale,7,
8/18/2008,Blackstone St. Charles Porter,6,
8/23/2008,Rogue HazelNut Brown Nectar,9,
8/23/2008,Rogue Dead Guy Ale,7,
8/23/2008,Charleville Half Wit Wheat,4,
8/27/2008,Schlafly Oktoberfest,7,
8/27/2008,Third Coast Old Ale,4,
8/29/2008,Boulevard Saison,7,
8/29/2008,Morgan Street Honey Wheat,5,
8/29/2008,Michelob Ultra,4,
8/29/2008,Morgan Street Dark Wheat,4,
8/29/2008,Michelob Light,3,
8/29/2008,Morgan Street Vienna,3,
8/30/2008,Schlafly Pumpkin Ale,7,
9/5/2008,Dundee Original Honey Brown Lager,5,
9/9/2008,Michelob Porter,3,
9/15/2008,Budweiser American Ale,7,
9/15/2008,Il Vicino Brett Pale Ale,4,
9/15/2008,Michelob,4,
9/18/2008,Fort Collins Major Toms Pomegranate Wheat,3,
9/19/2008,Unibroue La Terrible,8,
9/21/2008,Baltika 8 Pshenichnoe (Wheat),8,
